,text,star,hp_data,city,transformed_date,product_num
77,"Samsung fridge 183 L this verry bad
Noice and vibration 📳",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Islampur,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
78,There is no space for water bottles,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Hyderabad,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
79,"Useless product after 6 months oil likage from d fridge and service person took service charges as well as parts repair charges instead of in the warranty of rhe refrigerator.....
Very very unpleasant service from Samsung....",1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Dumka,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
80,Wrost product and send me bill of it,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Gurugram,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
81,Very nice,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Kheri District,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
82,"My hard earned money Wasted here.
Refrigerator has a big issue with side heating
Just too much heating issue
Really Disappointed",2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Bally,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
83,Heating issue always..,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Hirakud,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
84,In emergency room scratch,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Santirbazar,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
85,Goat sale... fake exchange value bad.. delivery experience bad. product just ok...👎,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Trivandrum,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
86,Samsung refrigerator are heated too much so i suggest dont buy this product,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Greater Noida,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
87,I am not expected,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Jsw Steel Plant Township,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
88,Bad color,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Darbhanga District,"Jul, 2024","Camellia Blue, RR20C1824CU/HL"
89,Doorsight not calling,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Nayagarh District,"Jun, 2024","Camellia Blue, RR20C1824CU/HL"
90,"Very bad not available Flipkart customer support
So don't buy online",2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Siliguri,"Jun, 2024","Camellia Blue, RR20C1824CU/HL"
91,"Very nice product, I love it...",2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Maithon,"Jun, 2024","Camellia Blue, RR20C1824CU/HL"
92,Cooling problem in this fridge..,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Purba Bardhaman District,"Jun, 2024","Camellia Blue, RR20C1824CU/HL"
93,This refrigrator is getting too much heat,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Pithampur,"Jun, 2024","Camellia Blue, RR20C1824CU/HL"
94,Bad quality.... don't buy,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Buldana District,"May, 2024","Camellia Blue, RR20C1824CU/HL"
95,Very low built quality...,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Bannur,"May, 2024","Camellia Blue, RR20C1824CU/HL"
96,Bad experience,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Gurugram,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
97,Very hitting body after 2 to 3 hour continue on.,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Kachchh District,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
98,Nicr,2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Vellore,"Mar, 2024","Camellia Blue, RR20C1824CU/HL"
99,"More heat produced by left and right side of refrigerator
vegetables slot is very small
And egg slot are so big so water bottle are not adjust
And major problem is in below the freezer section their is very small slot so we didn't use",2,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Solapur District,"Mar, 2024","Camellia Blue, RR20C1824CU/HL"
100,Push button not working,3,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Nagpur,"Jun, 2024","Camellia Blue, RR20C1824CU/HL"
101,3 month problem,1,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Dharmapuri District,"Apr, 2024","Camellia Blue, RR20C1824CU/HL"
102,Best,5,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Dewas,"Aug, 2024","Camellia Blue, RR20C1824CU/HL"
103,Fantastic waoo,5,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,Fatwah,"Jun, 2024","Camellia Blue, RR20C1824CU/HL"
104,Average,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Siddharthnagar District,"Jul, 2024","Elegant Inox, RT28C3733S8/HL"
105,Not good,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Dibrugarh,"Jul, 2024","Elegant Inox, RT28C3733S8/HL"
106,The installation guy kept us on hold saying he is coming and stopped taking calls. The customer support is also helpless as the services are outsourced and they don't have technician no. Please provide precise timing as people cannot wait entire day and waist time.,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Vasco Da Gama,"Jul, 2024","Elegant Inox, RT28C3733S8/HL"
107,Don't purchase,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Bengaluru,"Jul, 2024","Elegant Inox, RT28C3733S8/HL"
108,Bad experience my problem was not solved disappointed 😞,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Hosdurga,"Jun, 2024","Elegant Inox, RT28C3733S8/HL"
109,"I received the damaged refrigerator. When i returned the item, they responded after 4 days, and they are saying we will replace it in 72 hours. But they were not replaced. Please don't buy this product.",1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Hyderabad,"Jun, 2024","Elegant Inox, RT28C3733S8/HL"
110,Worst product every day a new problem faced,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Patna,"Jun, 2024","Elegant Inox, RT28C3733S8/HL"
111,This product not good and working very bad don't buy the p,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Sri Potti Sriramulu Nellore District,"May, 2024","Elegant Inox, RT28C3733S8/HL"
112,Good product,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Muzaffarpur District,"May, 2024","Elegant Inox, RT28C3733S8/HL"
113,Good product but installation not completed by team in time and was no such installation requirement or advice .,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Puri,"May, 2024","Elegant Inox, RT28C3733S8/HL"
114,Very bad side heavy heating Samsung's engineer not help,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Durgapur,"May, 2024","Elegant Inox, RT28C3733S8/HL"
115,Bad product,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Kolar District,"May, 2024","Elegant Inox, RT28C3733S8/HL"
116,Good to bye for only own house owner,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,East Godavari District,"Apr, 2024","Elegant Inox, RT28C3733S8/HL"
117,Received defective product. The freezer is cooling but the lower part of the fridge isn't,1,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator with Digital Inverter and Display,Jath,"Apr, 2024","Elegant Inox, RT28C3733S8/HL"
